Dataset,Original_file_name,Distorted_file_name,Width_original,Height_original,Width,Height,Bitrate,Video_codec,FPS,Duration,MOS,CI,Computed_Mos,Window_size,Window_stride,SSIM_Minkowski_pooling,Mode,temporal_pooling,vmaf_v0.6.1,vmaf_v0.6.1neg,vmaf_float_v0.6.1,vmaf_float_v0.6.1neg,vmaf_float_b_v0.6.3,vmaf_b_v0.6.3,vmaf_float_4k_v0.6.1,vmaf_4k_v0.6.1,vmaf_4k_v0.6.1neg,cambi,float_ssim,psnr_y,psnr_cb,psnr_cr,float_ms_ssim,ciede2000,psnr_hvs_y,psnr_hvs_cb,psnr_hvs_cr,psnr_hvs,vmaf_float_b_v0.6.3_bagging,vmaf_float_b_v0.6.3_stddev,vmaf_float_b_v0.6.3_ci_p95_lo,vmaf_float_b_v0.6.3_ci_p95_hi,vmaf_b_v0.6.3_bagging,vmaf_b_v0.6.3_stddev,vmaf_b_v0.6.3_ci_p95_lo,vmaf_b_v0.6.3_ci_p95_hi,integer_vif_scale3,eSSIM,SSIM
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,harmonic_mean,56.76697817430106,55.17350178089466,56.7659409371117,55.18711751037655,55.474054354237765,55.47287503796206,68.50572774124446,68.5048635148849,67.30101600588624,2.0170041586580214,0.983003980078378,30.804132435287105,37.588909092721,32.98462827716329,0.974406456544239,36.19640544451232,30.79535771072767,36.72057902467866,34.27580324064254,31.39686823978669,55.04579894381228,2.4742890571423457,51.00906237246801,58.97502000474354,55.045710838708295,2.4771059918984726,51.0045136214461,58.98157325532405,0.940693968376696,0.7922185174023038,0.9183909176477284
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,geometric_mean,56.91703715766104,55.32286312180301,56.91593310582071,55.336742604899136,55.622955974973415,55.6218356943907,68.55822157715883,68.55735845335379,67.35244364184116,2.065177094692946,0.9830037886224195,30.806433519962905,37.5921810838104,32.987904796408486,0.9744061957800176,36.20293021043692,30.80208244687676,36.73420794353401,34.28383675780891,31.40363440833373,55.189346847633246,2.4805167605103264,51.15525438359897,59.12317170549384,55.18932825212945,2.483380466815077,51.150722061368775,59.12993107032976,0.9406816958788846,0.7922087460101986,0.9183882767520576
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,percentile_50,57.6399165,55.99218,57.6350615,56.0098815,56.32191400000001,56.316043,68.974212,68.977665,67.734985,2.103316,0.983389,30.8336985,37.5667445,32.8820465,0.9746945,36.17218,30.860167,36.68351800000001,34.2171225,31.462442000000003,55.8457055,2.515396,51.8407365,59.8549555,55.8491565,2.5181495,51.8365165,59.8496305,0.944679,0.7936099999999999,0.9183525
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,percentile_5,49.0981425,47.75745595,49.10187715,47.7593564,48.0212236,48.0094691,63.6180803,63.60533485,62.55123715,1.1711772,0.97284445,30.2479899,36.7941867,32.3866245,0.96463445,35.13077645,29.78517715,35.1340593,33.071521,30.3621178,47.795149300000006,2.07182325,44.29868555,51.3396936,47.79056795,2.0748319,44.29316145,51.34688085,0.89694455,0.77404025,0.9028467
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,percentile_95,62.4600437,60.8098655,62.46207095,60.8362669,61.10606,61.10686675,72.232556,72.2384626,70.9909911,3.5768800999999995,0.99098435,31.32520145,38.38688515,34.00950065,0.9825549,37.38172095,31.73599315,38.38467305,35.5065689,32.356319899999995,60.56530505,2.8752918,56.2547665,65.0014286,60.5686533,2.88004755,56.2437091,65.0182159,0.97225215,0.80800515,0.93417345
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,norm_lp1,57.06482889,55.47015292111112,57.06365183111111,55.48428908666667,55.76982244777778,55.76876877111111,68.61102621777778,68.61016586777778,67.40424210111111,2.215385495555556,0.9830238733333332,30.80887253111111,37.595633442222216,32.991411562222225,0.9744252566666668,36.20982747666667,30.80920098555556,36.74862218777777,34.292358998888886,31.41079535333333,55.331194687777774,2.495209103333334,51.29922101444445,59.270121822222215,55.33125109666667,2.498166905555555,51.29470950444444,59.27709705,0.9410235433333334,0.7922917455555556,0.9184495211111112
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,norm_lp2,57.20565220935202,55.61056853141457,57.20440048684577,55.624949431268085,55.909847074119526,55.90886283275035,68.66263131159236,68.66177509655773,67.45490590663637,2.370849420680012,0.9830438829784964,30.811294256897604,37.59908712645152,32.99494523312399,0.9744442647265744,36.21672555056048,30.816258737554165,36.76305802619103,34.30088648211716,31.417902878238163,55.46661448576632,2.509686407501194,51.435850843815096,59.41123933934976,55.46674700677951,2.5127366805603133,51.43136095411609,59.41843131837032,0.9413588200574464,0.7923742548301326,0.9185106353579756
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_1200_x264.mp4,640,480,1920,1080,1200,x264,30,30,2.62,-1,-1,8,4,3,2,norm_lp3,57.34036994769422,55.7450057549493,57.339043518294,55.75962245350733,56.04387272024979,56.04295891408667,68.71311687826531,68.71226589849094,67.504514933336,2.524913189018936,0.9830638180656815,30.81369905710193,37.60254187403764,32.99850575351402,0.9744632201630412,36.22362345294053,30.82325664615696,36.77751394722426,34.309418347215896,31.424957532231232,55.59637576339736,2.5238951056680348,51.56609738149138,59.54716434600566,55.59658420850235,2.5270351345728783,51.56162823294194,59.554572241909646,0.9416877524191404,0.7924562783917684,0.9185716174234676
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,2.84,-1,-1,8,4,3,2,mean,68.04543761555556,66.36247504111111,68.04011190333333,66.39769895111111,66.52251839555557,66.52512295777778,75.90739568111111,75.90790493666667,74.62052485777777,0.9303486455555556,0.9939264344444444,31.198849661111115,38.747835877777774,33.39332803222222,0.985255831111111,37.70223611444444,32.04682197222222,40.19456705,36.22129280222222,32.73254150888889,65.9658619411111,3.078121184444445,60.78297652222223,70.75531820444445,65.9699666588889,3.083845616666667,60.77475770222222,70.77294954,0.9908421411111112,0.8094865566666667,0.9371433266666668
GamingVideoSet2,LoL_30fps_30sec_Part2.yuv,LoL_30fps_30sec_Part2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,2.84,-1,-1,8,4,3,2,harmonic_mean,67.99869055077703,66.31528025553966,67.9933450807704,66.35034352510567,66.47763634061461,66.48025568084972,75.8861093829177,75.88662527158272,74.59921691000099,0.844075328348109,0.9939253003838388,31.195339790304622,38.74381602185127,33.38669583353865,0.985253794825678,37.69208142202185,32.041232806371134,40.17653104176991,36.21120581355284,32.72700750923929,65.91941042773665,3.069136179307033,60.7300198531086,70.71506036954685,65.92353171392764,3.0748104482368577,60.72182992696359,70.73266902267339,0.9908303138644288,0.8094677503202581,0.9371286255175932
