namePVS,nameSRC,codec,rate,mos,vmaf,vmaf_bagging,vmaf_stddev,vmaf_ci_p95_lo,vmaf_ci_p95_hi
BoulderZoom_H264at512K,BoulderZoom,H264,512000,2.127,45.088,44.456,2.784,40.372,50.386
parksquirrel_MPEG2at2M,parksquirrel,MPEG2,2000000,1.268,26.617,26.173,3.114,21.437,32.150
newstennis_H265at1M,newstennis,H265,1000000,4.394,85.211,84.399,2.367,80.400,88.310
rainbow2b_MPEG2at7M,rainbow2b,MPEG2,7000000,4.352,79.613,78.738,1.888,76.141,81.975
FlamencoVideo02_MPEG2at7M,FlamencoVideo02,MPEG2,7000000,4.662,92.149,91.345,3.021,84.709,96.010
snowfall5a_H265at1M,snowfall5a,H265,1000000,3.056,28.141,28.949,3.513,24.296,35.410
Ferry_H265at256K,Ferry,H265,256000,2.901,53.830,53.118,2.359,49.686,57.906
Boxing09_MPEG2at7M,Boxing09,MPEG2,7000000,4.592,90.751,89.945,2.649,84.479,93.861
RushFieldCuts_H264at1M,RushFieldCuts,H264,1000000,2.169,41.969,41.462,2.641,37.791,47.011
LiquidAssetsdiver01_H264at512K,LiquidAssetsdiver01,H264,512000,2.915,53.118,52.800,1.862,49.391,56.149
rainbow2b_H265at512K,rainbow2b,H265,512000,3.056,47.832,47.301,2.638,43.436,52.809
Denver_H265at256K,Denver,H265,256000,3.324,78.673,77.802,2.091,74.789,81.518
WaveRocks_H265at1M,WaveRocks,H265,1000000,3.761,60.455,59.859,1.651,57.376,62.645
bikepark_H265at1M,bikepark,H265,1000000,4.606,87.771,87.489,2.106,83.050,90.514
Ferry_H264at1M,Ferry,H264,1000000,3.408,63.842,63.042,1.869,60.152,66.338
Boxing05_H265at1M,Boxing05,H265,1000000,4.268,90.044,89.461,2.360,84.353,93.003
newsteahouse3_H265at512K,newsteahouse3,H265,512000,3.803,85.628,85.079,1.800,81.913,88.073
TheFootMusicVideo06_H265at1M,TheFootMusicVideo06,H265,1000000,4.254,69.384,68.752,1.923,65.326,71.956
LiquidAssetsdiver03_MPEG2at4M,LiquidAssetsdiver03,MPEG2,4000000,3.648,85.212,84.404,2.842,77.953,88.610
LiquidAssetsdiver06_H265at1M,LiquidAssetsdiver06,H265,1000000,4.408,74.134,73.376,1.776,70.608,76.544
poolhall_H264at512K,poolhall,H264,512000,2.099,55.052,54.794,1.867,52.138,58.672
musikvid_H265at256K,musikvid,H265,256000,1.394,31.497,31.324,3.346,25.287,36.397
Boxing06_H265at1M,Boxing06,H265,1000000,4.268,78.531,78.618,1.475,76.124,81.187
TheFootMusicVideo05_H265at1M,TheFootMusicVideo05,H265,1000000,4.070,81.150,80.346,2.254,76.108,83.951
FlamencoVideo09_H264at1M,FlamencoVideo09,H264,1000000,2.662,54.583,54.601,1.531,52.228,57.517
snowfall_H264at2M,snowfall,H264,2000000,3.141,25.818,27.050,4.443,21.113,34.928
BoysTalk_MPEG2at4M,BoysTalk,MPEG2,4000000,2.211,70.818,70.086,2.066,67.075,73.746
mallfountains_MPEG2at2M,mallfountains,MPEG2,2000000,1.507,33.565,33.178,2.892,29.134,39.871
bikepark_H264at1M,bikepark,H264,1000000,3.775,71.937,71.925,1.887,68.157,74.700
FlamencoVideo02_H264at1M,FlamencoVideo02,H264,1000000,4.352,81.440,80.779,2.242,76.522,84.319
LiquidAssetsdiver05_H265at1M,LiquidAssetsdiver05,H265,1000000,4.592,89.295,88.438,3.101,81.461,93.155
TwoBoysA_H265at256K,TwoBoysA,H265,256000,2.972,81.602,80.823,2.594,76.958,85.215
BoulderZoom_MPEG2at2M,BoulderZoom,MPEG2,2000000,1.479,35.677,34.933,3.069,30.504,42.219
Denver_MPEG2at7M,Denver,MPEG2,7000000,4.127,90.377,89.458,2.812,84.359,93.943
Boxing07_MPEG2at2M,Boxing07,MPEG2,2000000,1.634,43.309,43.003,1.994,39.997,46.763
rainbow2b_MPEG2at2M,rainbow2b,MPEG2,2000000,1.577,35.040,34.333,2.898,30.213,41.023
TouchdownDay_H265at1M,TouchdownDay,H265,1000000,3.972,80.246,79.389,1.980,76.379,82.784
