Dataset,Original_file_name,Distorted_file_name,Width_original,Height_original,Width,Height,Bitrate,Video_codec,FPS,Duration,MOS,CI,Computed_Mos,temporal_pooling,vmaf_v0.6.1,vmaf_v0.6.1neg,vmaf_float_v0.6.1,vmaf_float_v0.6.1neg,vmaf_float_b_v0.6.3,vmaf_b_v0.6.3,vmaf_float_4k_v0.6.1,vmaf_4k_v0.6.1,vmaf_4k_v0.6.1neg,cambi,float_ssim,psnr_y,psnr_cb,psnr_cr,float_ms_ssim,ciede2000,psnr_hvs_y,psnr_hvs_cb,psnr_hvs_cr,psnr_hvs,vmaf_float_b_v0.6.3_bagging,vmaf_float_b_v0.6.3_stddev,vmaf_float_b_v0.6.3_ci_p95_lo,vmaf_float_b_v0.6.3_ci_p95_hi,vmaf_b_v0.6.3_bagging,vmaf_b_v0.6.3_stddev,vmaf_b_v0.6.3_ci_p95_lo,vmaf_b_v0.6.3_ci_p95_hi,integer_vif_scale3
ITS4S,PublicSafety_046-Psrc23K_SRC.y4m,PublicSafety_046-Psrc23K_1732K.mp4,1024,576,1280,720,1732K,x264,23.976,4.004,3.51851851851852,-1,3.5185185185185186,norm_lp2,95.67092614570574,92.909567510276,95.67083940444589,92.92724038046155,94.34030539061276,94.34059059978736,96.98864109262034,96.98742465230916,94.8745414585632,0.121584684934471,0.9884959510611204,40.39584637386724,45.47223240628955,45.573925380517146,0.9886639224623268,41.65828656087026,39.026104922393664,42.2964173866704,42.245137346156206,39.50538033645797,93.92321707525208,1.828943356700213,90.23415398906609,96.49775884751564,93.92390510734576,1.8306042060559824,90.23128320212206,96.50104929165212,0.9775620278177046
ITS4S,PublicSafety_046-Psrc23K_SRC.y4m,PublicSafety_046-Psrc23K_1732K.mp4,1024,576,1280,720,1732K,x264,23.976,4.004,3.51851851851852,-1,3.5185185185185186,norm_lp3,95.723745995365,92.9686473969002,95.7236667474628,92.98634506522842,94.39718005613018,94.39747296835802,97.01044127753526,97.0092267608552,94.89855010598583,0.1351132945316168,0.9884979027558908,40.40337762806933,45.474241477538335,45.57596194543034,0.988665355582794,41.66097189076502,39.036088304838486,42.299641895690975,42.24891941074084,39.51421119448576,93.98528356786152,1.8583776557969487,90.30598367315122,96.5386500524424,93.98597629582632,1.860045867829625,90.30312892898748,96.5418910915224,0.977573945112525
ITS4S,PublicSafety_047-Psrc23K_SRC.y4m,PublicSafety_047-Psrc23K_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,3.84615384615385,-1,3.8461538461538463,mean,75.14622032291666,73.16004841666667,75.13031317708334,73.16152271874999,73.90081644791667,73.91136477083334,82.95909492708333,82.95494415625001,81.48658232291666,0.8818316145833333,0.9763019895833334,36.23822746875,39.74205516666667,39.95236335416666,0.9790551354166668,38.29499309375,33.06897652083334,35.24915709375,35.44205479166666,33.42779343749999,73.76468284375,1.0998279791666663,71.84007019791666,75.64076467708334,73.7797204375,1.1108135833333332,71.8269106875,75.66678075,0.9067700833333332
ITS4S,PublicSafety_047-Psrc23K_SRC.y4m,PublicSafety_047-Psrc23K_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,3.84615384615385,-1,3.8461538461538463,harmonic_mean,75.02095425790971,73.03101811128765,75.00481434625941,73.03230780297983,73.79088760993139,73.80160940387798,82.90361322367448,82.89959249218973,81.42899324153083,0.8391315253454921,0.9762992746654922,36.22931553316622,39.70252132978234,39.94317814159722,0.9790536727894148,38.293321371681614,33.06286555272027,35.20110366351205,35.42891785850075,33.421196283038746,73.64432971486745,1.0848403256292052,71.71568465816591,75.54683432136649,73.6595522042757,1.0954560341736634,71.70253773838715,75.57322434339889,0.90671862023837
ITS4S,PublicSafety_047-Psrc23K_SRC.y4m,PublicSafety_047-Psrc23K_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,3.84615384615385,-1,3.8461538461538463,geometric_mean,75.0823225056239,73.0941553438201,75.0662957576959,73.09553448237179,73.84473669121444,73.85537420504889,82.93088729012844,82.92680270809791,81.45728001960234,0.8359724574367746,0.9762992421168868,36.233646186671145,39.72157584847869,39.94762111887351,0.9790536572849724,38.29413484281044,33.065820784956266,35.224146245655234,35.43525553662623,33.4243838831232,73.7032664926814,1.0856030085389077,71.77662697124313,75.59286222364088,73.71839927258743,1.0962916507953926,71.76347331073804,75.61906990441445,0.9067160487855376
ITS4S,PublicSafety_047-Psrc23K_SRC.y4m,PublicSafety_047-Psrc23K_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,3.84615384615385,-1,3.8461538461538463,percentile_1,69.7610708,67.95931329999999,69.75813655,67.96271895000001,68.8918419,68.88923274999999,79.37110465,79.35704184999999,77.99986985000001,0.4378758,0.9717068,35.31575855,38.53681425,39.2827547,0.9758915,37.778216,32.402996800000004,33.921718549999994,34.2371491,32.7540031,68.5674935,0.8180808,66.67940970000001,71.11668755,68.57065075,0.8232126000000001,66.64705825,71.13738889999999,0.8915768000000001
ITS4S,PublicSafety_047-Psrc23K_SRC.y4m,PublicSafety_047-Psrc23K_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,3.84615384615385,-1,3.8461538461538463,percentile_5,70.442013,68.29969775,70.41219325,68.30348575,69.506616,69.5116645,79.73638199999999,79.73407225,78.20095925,0.4799744999999999,0.9724815,35.421439,38.614058,39.3874265,0.976064,37.8942265,32.498583,34.01257525,34.40420325,32.88893525,69.2043225,0.84708225,67.24490975,71.56591575,69.22838949999999,0.85281175,67.2295625,71.60243700000001,0.8935545
ITS4S,PublicSafety_047-Psrc23K_SRC.y4m,PublicSafety_047-Psrc23K_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,3.84615384615385,-1,3.8461538461538463,percentile_95,80.87703300000001,78.67105975,80.84184375,78.6698705,79.21263024999999,79.242932,87.00553975,87.015523,85.2090075,1.337344,0.98006625,37.13808875,42.42920325,41.467747,0.98179725,38.7343475,33.9266985,38.100155,37.10726625,34.377009,79.2235425,1.33309,77.434389,80.54562025000001,79.240896,1.34753975,77.421426,80.54615150000001,0.924516
ITS4S,PublicSafety_047-Psrc23K_SRC.y4m,PublicSafety_047-Psrc23K_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,3.84615384615385,-1,3.8461538461538463,norm_lp1,75.14622032291666,73.16004841666667,75.13031317708334,73.16152271874999,73.90081644791667,73.91136477083334,82.95909492708333,82.95494415625001,81.48658232291666,0.8818316145833333,0.9763019895833334,36.23822746875,39.74205516666667,39.95236335416666,0.9790551354166668,38.29499309375,33.06897652083334,35.24915709375,35.44205479166666,33.42779343749999,73.76468284375,1.0998279791666663,71.84007019791666,75.64076467708334,73.7797204375,1.1108135833333332,71.8269106875,75.66678075,0.9067700833333332
ITS4S,PublicSafety_047-Psrc23K_SRC.y4m,PublicSafety_047-Psrc23K_1256K.mp4,824,464,1280,720,1256K,x264,23.976,4.004,3.84615384615385,-1,3.8461538461538463,norm_lp2,75.2110077057038,73.22697167673095,75.19522314050404,73.22854455349515,73.95766640332405,73.96812318170686,82.98757559715024,82.98335784648698,81.51620444470782,0.932947979900256,0.9763047386288868,36.24281316955561,39.762992854920384,39.95718114483718,0.9790566141007724,38.29585255739032,33.072149278500206,35.27481773418208,35.448954846511164,33.43122983210945,73.82697644592463,1.1157123200837231,71.90430105855744,75.68932824177816,73.84191619255704,1.126965212180122,71.89113666883375,75.71514867871103,0.906824384851667
